u0,00f548,3,,3726,3811
u1,e08341,3,,3726,3811
u2,e08341,3,,3240,3291
u3,bd7860,3,,2054,2129
u4,bd7860,3,,1979,2052
u5,bd7860,3,,1646,1696
u6,bd7860,3,,2237,2341
u7,bd7860,3,,2576,2632
u8,bd7860,3,,2662,2826
u9,bd7860,3,,2907,3122
u10,bd7860,3,,3537,3608
u11,bd7860,3,,3240,3291
u12,bd7860,3,,3726,3811
u13,8f5ca4,3,,3149,3291
u14,343ecb,3,,3149,3291
u15,f3a07c,3,,3726,3811
u16,76f739,3,,1565,1600
u17,76f739,3,,2636,2826
u18,76f739,3,,3495,3608
u19,0b2ee3,3,,4002,4218
u20,aac18e,3,,4014,4031
u21,aac18e,3,,4181,4218
u22,aac18e,3,,4939,4985
u23,e08341,3,,4222,4330
u24,e08341,3,,5632,5753
u25,e08341,3,,4430,4473
u26,bd7860,3,,4222,4330
u27,bd7860,3,,5632,5753
u28,bd7860,3,,4430,4473
u29,f91436,3,,4222,4330
u30,f91436,3,,4536,4661
u31,f91436,3,,4785,4826
u32,f91436,3,,4895,4985
u33,343ecb,3,,5632,5753
u34,76f739,3,,4002,4218
u35,76f739,3,,5128,5199
u36,76f739,3,,5651,5753
u37,f91436,3,,8480,8585
u38,e44f57,3,,5998,6077
u39,e44f57,3,,6427,6582
u40,e44f57,3,,8589,8675
u41,e44f57,3,,8772,8953
u42,e44f57,3,,9190,9336
u43,e44f57,3,,6717,6766
u44,e44f57,3,,6770,6990
u45,e44f57,3,,7541,7633
u46,0b2ee3,3,,8480,8585
u47,bd7860,3,,6872,6925
u48,bd7860,3,,6378,6582
u49,bd7860,3,,7541,7633
u50,bd7860,3,,7788,7822
u51,bd7860,3,,9239,9336
u52,bd7860,3,,8480,8585
u53,bd7860,3,,8638,8675
u54,bd7860,3,,8772,8953
u55,00f548,3,,5919,6077
u56,e08341,3,,5998,6077
u57,e08341,3,,6872,6925
u58,343ecb,3,,8966,9129
u59,343ecb,3,,9131,9186
u60,8f5ca4,3,,8480,8585
u61,f91436,3,,10638,10767
u62,f91436,3,,10984,11161
u63,f91436,3,,11444,11488
u64,f91436,3,,13625,13758
u65,0b2ee3,3,,10893,10982
u66,0b2ee3,3,,11561,11662
u67,bd7860,3,,10457,10767
u68,bd7860,3,,12088,12309
u69,bd7860,3,,13625,13708
u70,bd7860,3,,10218,10350
u71,bd7860,3,,11444,11488
u72,592ad4,3,,10138,10886
u73,592ad4,3,,10889,11161
u74,592ad4,3,,11229,11662
u75,592ad4,3,,11665,12041
u76,592ad4,3,,12079,12309
u77,592ad4,3,,12494,12548
u78,592ad4,3,,12669,12702
u79,592ad4,3,,12745,12916
u80,592ad4,3,,12919,13906
u81,bd7860,3,,14474,14658
u82,bd7860,3,,14661,14819
u83,bd7860,3,,15184,15536
u84,592ad4,3,,14023,14158
u85,592ad4,3,,15182,15184
u86,592ad4,3,,14462,14658
u87,592ad4,3,,15184,15318
u88,e44f57,3,,15859,16139
u89,bd7860,3,,17957,18035
u90,e44f57,3,,18849,18929
u91,592ad4,3,,19613,19974
u92,592ad4,3,,19976,20571
u93,592ad4,3,,20912,21084
u94,592ad4,3,,23892,24133
u95,592ad4,3,,24294,24390
u96,0b2ee3,3,,20832,21084
u97,0b2ee3,3,,21355,21565
u98,0b2ee3,3,,23892,24133
u99,452115,3,,25231,25237
u100,e08341,3,,30097,30219
u101,41a6c6,3,,32805,32946
u102,c386e6,3,,32805,32946
u103,bbe329,3,,32805,32946
u104,bbe329,3,,35968,36032
u105,c386e6,3,,35943,36032
u106,41a6c6,3,,35943,36032
